stop_id,stop_lat,stop_lon,hour,trip_count
9,33.789909,-118.194294,hr_12,8
9,33.789909,-118.194294,hr_13,8
9,33.789909,-118.194294,hr_14,9
9,33.789909,-118.194294,hr_15,9
9,33.789909,-118.194294,hr_16,10
9,33.789909,-118.194294,hr_17,9
9,33.789909,-118.194294,hr_18,7
9,33.789909,-118.194294,hr_19,5
9,33.789909,-118.194294,hr_20,3
9,33.789909,-118.194294,hr_21,3
9,33.789909,-118.194294,hr_22,1
9,33.789909,-118.194294,hr_23,1
9,33.789909,-118.194294,hr_4,1
9,33.789909,-118.194294,hr_5,2
9,33.789909,-118.194294,hr_6,4
9,33.789909,-118.194294,hr_7,7
9,33.789909,-118.194294,hr_8,8
9,33.789909,-118.194294,hr_9,7
10,33.789916,-118.196898,hr_10,5
10,33.789916,-118.196898,hr_11,5
10,33.789916,-118.196898,hr_12,6
10,33.789916,-118.196898,hr_13,6
10,33.789916,-118.196898,hr_14,7
10,33.789916,-118.196898,hr_15,7
10,33.789916,-118.196898,hr_16,8
10,33.789916,-118.196898,hr_17,7
10,33.789916,-118.196898,hr_18,5
10,33.789916,-118.196898,hr_19,4
10,33.789916,-118.196898,hr_20,3
10,33.789916,-118.196898,hr_21,3
10,33.789916,-118.196898,hr_22,1
10,33.789916,-118.196898,hr_23,1
10,33.789916,-118.196898,hr_4,1
10,33.789916,-118.196898,hr_5,2
10,33.789916,-118.196898,hr_6,4
10,33.789916,-118.196898,hr_7,5
10,33.789916,-118.196898,hr_8,6
10,33.789916,-118.196898,hr_9,5
11,33.789957,-118.19848400000001,hr_10,7
11,33.789957,-118.19848400000001,hr_11,7
11,33.789957,-118.19848400000001,hr_12,8
11,33.789957,-118.19848400000001,hr_13,8
11,33.789957,-118.19848400000001,hr_14,9
11,33.789957,-118.19848400000001,hr_15,9
11,33.789957,-118.19848400000001,hr_16,10
11,33.789957,-118.19848400000001,hr_17,9
11,33.789957,-118.19848400000001,hr_18,7
11,33.789957,-118.19848400000001,hr_19,5
11,33.789957,-118.19848400000001,hr_20,3
11,33.789957,-118.19848400000001,hr_21,3
11,33.789957,-118.19848400000001,hr_22,1
11,33.789957,-118.19848400000001,hr_23,1
11,33.789957,-118.19848400000001,hr_4,1
11,33.789957,-118.19848400000001,hr_5,2
11,33.789957,-118.19848400000001,hr_6,4
11,33.789957,-118.19848400000001,hr_7,7
11,33.789957,-118.19848400000001,hr_8,8
11,33.789957,-118.19848400000001,hr_9,7
12,33.789947,-118.20099499999999,hr_10,5
12,33.789947,-118.20099499999999,hr_11,5
12,33.789947,-118.20099499999999,hr_12,6
12,33.789947,-118.20099499999999,hr_13,6
12,33.789947,-118.20099499999999,hr_14,7
12,33.789947,-118.20099499999999,hr_15,7
12,33.789947,-118.20099499999999,hr_16,8
12,33.789947,-118.20099499999999,hr_17,7
12,33.789947,-118.20099499999999,hr_18,5
12,33.789947,-118.20099499999999,hr_19,4
12,33.789947,-118.20099499999999,hr_20,2
12,33.789947,-118.20099499999999,hr_21,3
12,33.789947,-118.20099499999999,hr_22,2
12,33.789947,-118.20099499999999,hr_23,1
12,33.789947,-118.20099499999999,hr_4,1
12,33.789947,-118.20099499999999,hr_5,2
12,33.789947,-118.20099499999999,hr_6,3
12,33.789947,-118.20099499999999,hr_7,6
12,33.789947,-118.20099499999999,hr_8,6
12,33.789947,-118.20099499999999,hr_9,5
13,33.790253,-118.21040500000001,hr_10,2
13,33.790253,-118.21040500000001,hr_11,2
13,33.790253,-118.21040500000001,hr_12,2
13,33.790253,-118.21040500000001,hr_13,2
13,33.790253,-118.21040500000001,hr_14,2
13,33.790253,-118.21040500000001,hr_15,2
13,33.790253,-118.21040500000001,hr_16,2
13,33.790253,-118.21040500000001,hr_17,2
13,33.790253,-118.21040500000001,hr_18,2
13,33.790253,-118.21040500000001,hr_19,1
13,33.790253,-118.21040500000001,hr_20,1
13,33.790253,-118.21040500000001,hr_21,1
13,33.790253,-118.21040500000001,hr_5,1
13,33.790253,-118.21040500000001,hr_6,2
13,33.790253,-118.21040500000001,hr_7,1
13,33.790253,-118.21040500000001,hr_8,2
13,33.790253,-118.21040500000001,hr_9,2
14,33.791846,-118.21041899999999,hr_10,2
14,33.791846,-118.21041899999999,hr_11,2
14,33.791846,-118.21041899999999,hr_12,2
14,33.791846,-118.21041899999999,hr_13,2
14,33.791846,-118.21041899999999,hr_14,2
14,33.791846,-118.21041899999999,hr_15,2
14,33.791846,-118.21041899999999,hr_16,2
14,33.791846,-118.21041899999999,hr_17,2
14,33.791846,-118.21041899999999,hr_18,2
14,33.791846,-118.21041899999999,hr_19,1
14,33.791846,-118.21041899999999,hr_20,1
14,33.791846,-118.21041899999999,hr_21,1
14,33.791846,-118.21041899999999,hr_5,1
14,33.791846,-118.21041899999999,hr_6,1
14,33.791846,-118.21041899999999,hr_7,2
14,33.791846,-118.21041899999999,hr_8,2
14,33.791846,-118.21041899999999,hr_9,2
15,33.793658,-118.209943,hr_10,2
15,33.793658,-118.209943,hr_11,2
15,33.793658,-118.209943,hr_12,2
15,33.793658,-118.209943,hr_13,2
15,33.793658,-118.209943,hr_14,2
15,33.793658,-118.209943,hr_15,2
15,33.793658,-118.209943,hr_16,2
15,33.793658,-118.209943,hr_17,2
15,33.793658,-118.209943,hr_18,2
15,33.793658,-118.209943,hr_19,1
15,33.793658,-118.209943,hr_20,1
15,33.793658,-118.209943,hr_21,1
15,33.793658,-118.209943,hr_5,1
15,33.793658,-118.209943,hr_6,1
15,33.793658,-118.209943,hr_7,2
15,33.793658,-118.209943,hr_8,2
15,33.793658,-118.209943,hr_9,2
16,33.795482,-118.20998999999999,hr_10,2
16,33.795482,-118.20998999999999,hr_11,2
16,33.795482,-118.20998999999999,hr_12,2
16,33.795482,-118.20998999999999,hr_13,2
16,33.795482,-118.20998999999999,hr_14,2
16,33.795482,-118.20998999999999,hr_15,2
16,33.795482,-118.20998999999999,hr_16,2
16,33.795482,-118.20998999999999,hr_17,2
16,33.795482,-118.20998999999999,hr_18,2
16,33.795482,-118.20998999999999,hr_19,1
16,33.795482,-118.20998999999999,hr_20,1
16,33.795482,-118.20998999999999,hr_21,1
