route_id,hour,trip_count
182,hr_6,4
182,hr_7,4
182,hr_8,4
182,hr_9,4
191,hr_10,9
191,hr_11,9
191,hr_12,9
191,hr_13,9
191,hr_14,13
191,hr_15,15
191,hr_16,13
191,hr_17,10
191,hr_18,8
191,hr_19,5
191,hr_20,4
191,hr_21,4
191,hr_22,4
191,hr_23,4
191,hr_24,3
191,hr_25,1
191,hr_4,2
191,hr_5,8
191,hr_6,15
191,hr_7,15
191,hr_8,11
191,hr_9,10
192,hr_10,9
192,hr_11,9
192,hr_12,9
192,hr_13,10
192,hr_14,12
192,hr_15,12
192,hr_16,10
192,hr_17,9
192,hr_18,9
192,hr_19,7
192,hr_20,6
192,hr_21,4
192,hr_22,3
192,hr_23,1
192,hr_3,1
192,hr_4,2
192,hr_5,5
192,hr_6,10
192,hr_7,10
192,hr_8,10
192,hr_9,9
21,hr_20,1
21,hr_21,3
21,hr_22,4
21,hr_23,4
21,hr_24,3
21,hr_25,1
21,hr_4,1
21,hr_5,2
21,hr_6,1
21A,hr_10,4
21A,hr_11,4
21A,hr_12,4
21A,hr_13,4
21A,hr_14,4
21A,hr_15,4
21A,hr_16,4
21A,hr_17,4
21A,hr_18,3
21A,hr_19,2
21A,hr_20,1
21A,hr_5,1
21A,hr_6,3
21A,hr_7,4
21A,hr_8,4
21A,hr_9,4
21B,hr_10,4
21B,hr_11,4
21B,hr_12,4
21B,hr_13,4
21B,hr_14,4
21B,hr_15,4
21B,hr_16,5
21B,hr_17,4
21B,hr_18,4
21B,hr_19,3
21B,hr_20,2
21B,hr_21,1
21B,hr_5,1
21B,hr_6,3
21B,hr_7,4
21B,hr_8,4
21B,hr_9,4
22,hr_10,8
22,hr_11,8
22,hr_12,8
22,hr_13,9
22,hr_14,9
22,hr_15,9
22,hr_16,9
22,hr_17,8
22,hr_18,7
22,hr_19,5
22,hr_20,4
22,hr_21,4
22,hr_22,3
22,hr_23,2
22,hr_24,1
22,hr_4,1
22,hr_5,3
22,hr_6,6
22,hr_7,8
22,hr_8,8
22,hr_9,8
37,hr_10,9
37,hr_11,10
37,hr_12,11
37,hr_13,11
37,hr_14,11
37,hr_15,11
37,hr_16,11
37,hr_17,11
37,hr_18,11
37,hr_19,11
37,hr_20,7
37,hr_21,6
37,hr_22,5
37,hr_23,4
37,hr_24,2
37,hr_5,3
37,hr_6,4
37,hr_7,5
37,hr_8,5
37,hr_9,6
45,hr_10,10
45,hr_11,10
45,hr_12,10
45,hr_13,10
45,hr_14,13
45,hr_15,13
45,hr_16,10
45,hr_17,10
45,hr_18,10
45,hr_19,7
45,hr_20,2
45,hr_5,4
45,hr_6,7
45,hr_7,12
45,hr_8,10
45,hr_9,10
46,hr_10,9
46,hr_11,9
46,hr_12,9
46,hr_13,9
46,hr_14,9
46,hr_15,9
46,hr_16,9
46,hr_17,9
46,hr_18,9
46,hr_19,8
46,hr_20,8
46,hr_21,6
46,hr_22,6
46,hr_23,5
46,hr_24,3
46,hr_25,2
46,hr_4,3
46,hr_5,5
46,hr_6,7
46,hr_7,9
46,hr_8,9
46,hr_9,9
51,hr_10,12
51,hr_11,12
51,hr_12,12
51,hr_13,13
51,hr_14,13
51,hr_15,13
51,hr_16,12
51,hr_17,10
51,hr_18,9
51,hr_19,10
51,hr_20,7
51,hr_21,6
51,hr_22,6
51,hr_23,4
51,hr_24,1
51,hr_4,2
51,hr_5,7
51,hr_6,12
51,hr_7,12
51,hr_8,11
51,hr_9,12
52,hr_10,6
52,hr_11,6
52,hr_12,6
52,hr_13,6
52,hr_14,6
52,hr_15,6
52,hr_16,7
52,hr_17,6
52,hr_18,4
52,hr_6,3
52,hr_7,5
52,hr_8,6
52,hr_9,6
61,hr_10,19
61,hr_11,20
61,hr_12,20
61,hr_13,20
61,hr_14,24
61,hr_15,24
61,hr_16,21
61,hr_17,19
61,hr_18,17
61,hr_19,10
61,hr_20,7
61,hr_21,6
61,hr_22,6
61,hr_23,4
61,hr_24,3
61,hr_25,1
61,hr_4,2
61,hr_5,7
61,hr_6,15
61,hr_7,23
61,hr_8,20
61,hr_9,19
71,hr_10,8
71,hr_11,9
71,hr_12,9
71,hr_13,9
71,hr_14,9
71,hr_15,9
71,hr_16,9
71,hr_17,9
71,hr_18,8
71,hr_19,6
71,hr_20,2
71,hr_4,1
71,hr_5,5
71,hr_6,9
71,hr_7,9
71,hr_8,9
71,hr_9,8
81,hr_10,4
81,hr_11,4
81,hr_12,5
81,hr_13,4
81,hr_14,4
81,hr_15,4
81,hr_16,4
81,hr_17,3
81,hr_18,2
81,hr_6,1
81,hr_7,4
81,hr_8,4
81,hr_9,4
91,hr_10,9
91,hr_11,10
91,hr_12,9
91,hr_13,10
